Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Ажищева,Анастасия,жен,45,179,Омск,конструктор,600000,да
Азаренов,Михаил,муж,30,172,Казань,кондитер,20000,да
Азеренкоа,Анастасия,жен,44,183,Санкт-Петербург,конструктор,350000,нет
Азмайлов,Максим,муж,38,163,Владимир,инженер,25000,нет
Азоев,Михаил,муж,58,185,Калининград,конструктор,400000,да
Азюкина,Диана,жен,31,168,Владимир,учитель,25000,да
Аистов,Михаил,муж,37,189,Ачинск,учитель,500000,нет
Айдаков,Сергей,муж,25,165,Рязань,инженер,20000,да
Айзатуллена,Анна,жен,56,183,Санкт-Петербург,кондитер,20000,да
Айльков,Михаил,муж,30,166,Калининград,учитель,250000,нет
Аймасова,Евгения,жен,36,167,Рязань,кондитер,60000,нет
Айнуллова,Дарья,жен,23,186,Ачинск,учитель,350000,нет
Айшаева,Евгения,жен,20,182,Калининград,директор предприятия,500000,да
Акацатов,Сергей,муж,50,165,Рязань,инженер,30000,да
Акбарова,Диана,жен,41,181,Омск,бухгалтер,40000,да
Акидинова,Дарья,жен,32,185,Владимир,конструктор,100000,нет
Акимцева,Анна,жен,44,182,Калининград,инженер,45000,нет
Акинкина,Кристина,жен,22,160,Москва,учитель,40000,да
Акишев,Никита,муж,44,165,Казань,руководитель группы,400000,да
Аклиева,Марина,жен,34,185,Казань,ведущий инженер,45000,да
Акоцджанов,Пётр,муж,47,167,Омск,директор предприятия,500000,нет
Акперова,Анастасия,жен,36,174,Мурманск,конструктор,70000,да
Аксенов,Василий,муж,32,162,Уфа,учитель,80000,нет
Акубжанова,Диана,жен,32,159,Уфа,бухгалтер,45000,да
Акукина,Мария,жен,51,188,Омск,кондитер,200000,да
Акупов,Андрей,муж,18,163,Уфа,директор предприятия,45000,нет
Акуратнова,Диана,жен,59,181,Ачинск,директор предприятия,150000,да
Акыева,Анна,жен,58,188,Владимир,учитель,400000,да
Аладьева,Ольга,жен,55,163,Ачинск,кондитер,150000,да
Алазов,Пётр,муж,35,172,Рязань,бухгалтер,500000,да
Алапаева,Диана,жен,47,185,Мурманск,руководитель группы,600000,да
Алашов,Андрей,муж,52,168,Москва,учитель,70000,да
Алвазов,Никита,муж,35,163,Ачинск,конструктор,250000,да
Алдакимова,Анастасия,жен,31,171,Мурманск,учитель,40000,да
Алдашова,Мария,жен,36,158,Ачинск,конструктор,200000,да
Алевкина,Мария,жен,33,174,Мурманск,директор предприятия,250000,нет
Алексанрова,Мария,жен,57,160,Калининград,конструктор,600000,нет
Алексеека,Евгения,жен,41,168,Калининград,бухгалтер,500000,нет
Алексинцев,Сергей,муж,47,163,Санкт-Петербург,кондитер,350000,да
Алектров,Василий,муж,54,177,Калининград,ведущий инженер,400000,нет
Алентьева,Евгения,жен,37,165,Мурманск,директор предприятия,300000,нет
Алеплеева,Юлия,жен,37,186,Мурманск,кондитер,30000,нет
Алетдинов,Сергей,муж,34,159,Казань,руководитель группы,800000,да
Алешников,Сергей,муж,45,171,Ачинск,ведущий инженер,35000,нет
Алиакбарова,Кристина,жен,18,188,Омск,руководитель группы,350000,да
Аликулиев,Антон,муж,46,160,Санкт-Петербург,учитель,70000,да
Алимбеков,Андрей,муж,36,156,Санкт-Петербург,бухгалтер,90000,да
Алимпиева,Диана,жен,27,177,Уфа,ведущий инженер,100000,да
Алисютина,Юлия,жен,49,159,Омск,руководитель группы,80000,да
Алиханова,Юлия,жен,22,166,Уфа,кондитер,45000,да
Алихманов,Сергей,муж,26,165,Мурманск,кондитер,150000,нет
Алкснитиса,Мария,жен,35,182,Мурманск,директор предприятия,60000,нет
Алльперина,Анастасия,жен,26,186,Мурманск,директор предприятия,500000,да
Алмамедова,Ольга,жен,43,189,Уфа,учитель,350000,нет
Алназарова,Мария,жен,37,188,Ачинск,директор предприятия,45000,да
Алпанова,Ольга,жен,28,159,Омск,учитель,700000,да
Алсуфьев,Максим,муж,31,171,Москва,учитель,900000,нет
Алутина,Дарья,жен,18,157,Казань,ведущий инженер,20000,нет
Алфутова,Марина,жен,19,156,Калининград,ведущий инженер,30000,нет
Алымбекова,Марина,жен,55,181,Владимир,директор предприятия,400000,нет
Алырина,Евгения,жен,21,158,Ачинск,конструктор,400000,да
Аль-хамза,Юлия,жен,27,175,Уфа,бухгалтер,250000,нет
Альдухова,Дарья,жен,57,181,Уфа,учитель,25000,нет
Альметев,Сергей,муж,56,170,Мурманск,кондитер,70000,нет
Альмухамедов,Антон,муж,28,188,Владимир,конструктор,400000,нет
Алямкина,Анна,жен,36,159,Калининград,бухгалтер,700000,да
Аляров,Антон,муж,46,178,Владимир,директор предприятия,25000,нет
Амахина,Ольга,жен,55,184,Казань,инженер,50000,нет
Амбулова,Евгения,жен,44,170,Ачинск,руководитель группы,50000,нет
Амелькина,Дарья,жен,29,162,Казань,ведущий инженер,900000,да
Аментов,Василий,муж,26,174,Ачинск,директор предприятия,500000,нет
Аминев,Максим,муж,31,157,Мурманск,инженер,90000,да
Амирагова,Дарья,жен,26,160,Рязань,конструктор,300000,да
Амманов,Василий,муж,26,186,Санкт-Петербург,бухгалтер,20000,да
Ампелогов,Андрей,муж,56,156,Мурманск,учитель,35000,нет
Амузаев,Александр,муж,25,181,Москва,инженер,150000,да
Амченцев,Антон,муж,40,178,Уфа,инженер,300000,нет
Ананекова,Диана,жен,37,182,Мурманск,директор предприятия,80000,да
Ананишина,Марина,жен,53,155,Калининград,инженер,80000,да
Анастасина,Мария,жен,31,180,Уфа,ведущий инженер,200000,нет
Ангаткина,Юлия,жен,23,155,Ачинск,кондитер,800000,да
Ангенова,Диана,жен,21,185,Ачинск,директор предприятия,800000,да
Андреяшкина,Анастасия,жен,57,155,Омск,руководитель группы,40000,да
Андрияшев,Пётр,муж,42,174,Калининград,инженер,45000,да
Андрова,Кристина,жен,25,179,Рязань,ведущий инженер,500000,нет
Андрухаев,Александр,муж,51,161,Ачинск,кондитер,70000,да
Андрюшечкина,Дарья,жен,50,179,Уфа,руководитель группы,40000,нет
Анжигитов,Пётр,муж,48,185,Москва,учитель,100000,нет
Анитова,Марина,жен,47,186,Уфа,бухгалтер,25000,да
Анищенков,Максим,муж,55,184,Уфа,ведущий инженер,300000,нет
Аннгельдинова,Диана,жен,23,170,Казань,кондитер,45000,нет
Аноев,Александр,муж,55,177,Москва,руководитель группы,500000,да
Анпилогова,Анна,жен,19,181,Омск,кондитер,150000,нет
Антиков,Антон,муж,45,171,Уфа,кондитер,70000,да
Антипова,Евгения,жен,24,187,Казань,ведущий инженер,40000,нет
Антонива,Диана,жен,57,172,Мурманск,кондитер,700000,да
Антоносов,Антон,муж,43,178,Санкт-Петербург,бухгалтер,30000,да
Антусева,Кристина,жен,30,159,Владимир,инженер,800000,да
Антюхова,Юлия,жен,24,162,Москва,конструктор,40000,да
Аншукова,Анастасия,жен,22,171,Казань,конструктор,45000,да
Апандеева,Марина,жен,29,161,Владимир,учитель,25000,да
Апаркина,Диана,жен,59,184,Казань,ведущий инженер,35000,нет
Апатенков,Сергей,муж,26,155,Санкт-Петербург,ведущий инженер,400000,да
Аперников,Максим,муж,25,158,Калининград,ведущий инженер,25000,нет
Аплетова,Ольга,жен,43,156,Омск,руководитель группы,300000,да
Аполькова,Дарья,жен,29,173,Ачинск,бухгалтер,900000,да
Апонова,Диана,жен,46,162,Казань,ведущий инженер,500000,да
Апрелиев,Василий,муж,50,156,Уфа,конструктор,45000,да
Апресов,Сергей,муж,55,176,Казань,учитель,900000,да
Арабгаджаев,Михаил,муж,41,166,Казань,директор предприятия,500000,да
Аракова,Анастасия,жен,33,167,Санкт-Петербург,конструктор,90000,нет
Арвачев,Никита,муж,18,182,Рязань,кондитер,900000,да
Аргирова,Юлия,жен,33,168,Калининград,инженер,200000,нет
Ардашкина,Диана,жен,57,189,Санкт-Петербург,бухгалтер,35000,нет
Ардентова,Кристина,жен,49,189,Рязань,учитель,40000,нет
Арефичева,Марина,жен,42,157,Калининград,кондитер,30000,нет
Арехчева,Юлия,жен,25,172,Казань,учитель,60000,да
Аржанкина,Анна,жен,28,156,Омск,директор предприятия,70000,да
Арзыбов,Пётр,муж,23,175,Ачинск,конструктор,200000,нет
Аринчев,Никита,муж,21,165,Калининград,инженер,250000,нет
Арифов,Никита,муж,45,162,Уфа,кондитер,500000,да
Арифьев,Андрей,муж,39,176,Ачинск,конструктор,50000,нет
Аркадов,Пётр,муж,47,155,Рязань,ведущий инженер,300000,да
Арляпова,Евгения,жен,54,160,Омск,учитель,20000,да
Аронзов,Александр,муж,21,166,Омск,директор предприятия,300000,нет
Арпаутов,Михаил,муж,43,185,Калининград,конструктор,150000,нет
Арсеньева-образцова,Анна,жен,53,163,Уфа,учитель,150000,да
Артамлонова,Диана,жен,54,176,Мурманск,бухгалтер,50000,да
Артамошкина,Марина,жен,42,185,Уфа,учитель,200000,нет
Артихов,Василий,муж,49,181,Мурманск,конструктор,100000,да
Артыкбаева,Анастасия,жен,18,161,Мурманск,инженер,700000,да
Артюшечкина,Диана,жен,37,180,Владимир,кондитер,200000,нет
Арутюнова,Мария,жен,51,165,Санкт-Петербург,кондитер,500000,да
Арцибасова,Юлия,жен,53,189,Омск,инженер,500000,нет
Аршева,Дарья,жен,50,165,Калининград,конструктор,30000,нет
Аршинов,Антон,муж,57,172,Мурманск,бухгалтер,100000,да
Арьянкина,Диана,жен,48,188,Ачинск,бухгалтер,200000,да
Асавина,Анастасия,жен,31,184,Москва,ведущий инженер,45000,нет
Асанина,Мария,жен,49,187,Калининград,учитель,25000,да
Асафов,Антон,муж,42,158,Уфа,учитель,200000,нет
Асафьев,Антон,муж,32,171,Ачинск,бухгалтер,40000,нет
Асенчукова,Кристина,жен,32,166,Рязань,конструктор,800000,нет
Асинов,Антон,муж,50,178,Казань,конструктор,900000,нет
Асмаков,Сергей,муж,18,156,Ачинск,конструктор,60000,нет
Астафимов,Антон,муж,26,184,Владимир,директор предприятия,700000,нет
Асташина,Кристина,жен,52,182,Москва,учитель,30000,да
Астфуров,Василий,муж,25,160,Казань,учитель,50000,нет
Атажанова,Евгения,жен,27,169,Казань,бухгалтер,900000,нет
Атанов,Антон,муж,49,156,Рязань,учитель,400000,нет
Аткина,Юлия,жен,23,173,Уфа,бухгалтер,800000,да
Атландирова,Анастасия,жен,21,184,Владимир,руководитель группы,500000,да
Афанаскова,Ольга,жен,26,159,Ачинск,директор предприятия,500000,да
Афзалов,Пётр,муж,52,183,Казань,бухгалтер,350000,нет
Афитова,Марина,жен,27,160,Уфа,директор предприятия,40000,нет
Афонов,Никита,муж,30,186,Рязань,директор предприятия,70000,нет
Ахаева,Анна,жен,58,189,Калининград,учитель,100000,нет
Ахальцев,Максим,муж,41,186,Владимир,конструктор,25000,нет
Ахмадеева,Анна,жен,29,184,Мурманск,учитель,800000,нет
Ахмеджанов,Александр,муж,20,168,Рязань,директор предприятия,90000,да
Ахмедова,Дарья,жен,44,182,Омск,руководитель группы,20000,нет
Ахметнабиев,Сергей,муж,50,171,Мурманск,ведущий инженер,50000,да
Ахмина,Юлия,жен,40,156,Омск,бухгалтер,80000,нет
Ахреев,Максим,муж,45,189,Москва,конструктор,300000,нет
Ахунзянов,Антон,муж,37,170,Санкт-Петербург,конструктор,30000,да
Ачейкина,Ольга,жен,29,187,Калининград,конструктор,90000,нет
Ачкасова,Анна,жен,59,157,Санкт-Петербург,конструктор,150000,да
Ашратов,Александр,муж,53,184,Ачинск,кондитер,800000,да
Аяутдинов,Михаил,муж,26,188,Уфа,директор предприятия,20000,да
Бабалиев,Антон,муж,26,160,Мурманск,директор предприятия,40000,да
Бабеев,Василий,муж,40,185,Рязань,ведущий инженер,30000,нет
Бабенышев,Сергей,муж,27,176,Омск,бухгалтер,400000,да
Бабичева,Анна,жен,30,156,Омск,кондитер,20000,да
Баблоева,Диана,жен,47,183,Мурманск,бухгалтер,20000,да
Бабырина,Евгения,жен,48,176,Казань,руководитель группы,350000,да
Бавченков,Антон,муж,31,182,Омск,ведущий инженер,400000,нет
Багатдинов,Михаил,муж,41,170,Мурманск,руководитель группы,70000,нет
Багдашкина,Анна,жен,33,169,Омск,бухгалтер,300000,нет
Багнов,Андрей,муж,44,176,Ачинск,инженер,100000,да
Бадакова,Дарья,жен,29,180,Рязань,кондитер,80000,да
Бадина,Евгения,жен,45,171,Рязань,ведущий инженер,350000,да
Бадосов,Андрей,муж,50,164,Москва,ведущий инженер,40000,нет
Бадыштова,Мария,жен,50,165,Владимир,ведущий инженер,25000,нет
Бажамова,Кристина,жен,25,187,Ачинск,директор предприятия,150000,нет
Бажуков,Максим,муж,38,168,Санкт-Петербург,бухгалтер,700000,нет
Базалсева,Ольга,жен,48,165,Ачинск,инженер,30000,да
Базанина,Ольга,жен,38,164,Рязань,кондитер,700000,да
Базиков,Василий,муж,41,159,Рязань,ведущий инженер,45000,да
Базулева,Анастасия,жен,26,161,Мурманск,кондитер,40000,да
Базырова,Мария,жен,23,158,Омск,инженер,200000,да
Баилов,Андрей,муж,35,171,Омск,директор предприятия,70000,нет
Баишев,Максим,муж,32,158,Рязань,руководитель группы,900000,нет
Байдала,Юлия,жен,30,184,Москва,директор предприятия,35000,нет
Баймяшкина,Анастасия,жен,18,156,Омск,ведущий инженер,900000,да
Баканков,Михаил,муж,19,166,Москва,инженер,800000,да
Бакарькова,Юлия,жен,37,164,Москва,учитель,70000,да
Бакашкова,Евгения,жен,48,189,Рязань,инженер,30000,да
Бакишев,Андрей,муж,52,159,Казань,учитель,200000,нет
Баковина,Евгения,жен,35,157,Владимир,кондитер,150000,да
Бакренев,Сергей,муж,52,169,Владимир,учитель,90000,да
Бакчевникова,Ольга,жен,58,171,Казань,директор предприятия,50000,да
Балабуева,Ольга,жен,57,177,Омск,учитель,500000,нет
Баладурина,Мария,жен,48,158,Москва,инженер,700000,нет
Балаканова,Юлия,жен,40,177,Омск,учитель,600000,да
Баларев,Антон,муж,18,179,Омск,директор предприятия,350000,да
Балаутдинова,Кристина,жен,58,187,Мурманск,бухгалтер,20000,нет
Балаченков,Пётр,муж,28,169,Казань,учитель,50000,да
Балбекина,Дарья,жен,25,182,Казань,директор предприятия,250000,да
Балиев,Сергей,муж,40,165,Ачинск,учитель,40000,да
Балмутова,Юлия,жен,59,184,Мурманск,бухгалтер,800000,да
Баломутова,Кристина,жен,28,186,Санкт-Петербург,руководитель группы,30000,нет
Балченкова,Евгения,жен,55,165,Калининград,инженер,80000,да
Балыкина,Дарья,жен,52,179,Ачинск,учитель,900000,нет
Балякина,Евгения,жен,44,170,Москва,инженер,250000,да
Баляшина,Ольга,жен,27,179,Санкт-Петербург,учитель,90000,да
Бамбуров,Андрей,муж,35,168,Калининград,директор предприятия,35000,нет
Бандалетова,Дарья,жен,59,155,Владимир,директор предприятия,150000,нет
Бандуристова,Ольга,жен,37,188,Москва,конструктор,30000,да
Банькина,Юлия,жен,33,182,Владимир,бухгалтер,250000,нет
Барабенков,Сергей,муж,28,182,Рязань,руководитель группы,150000,нет
Барабошина,Евгения,жен,22,175,Уфа,конструктор,45000,нет
Баранова-крылова,Марина,жен,44,181,Санкт-Петербург,конструктор,60000,нет
Баратыкина,Юлия,жен,32,175,Калининград,директор предприятия,350000,нет
Бараусов,Михаил,муж,18,181,Калининград,бухгалтер,35000,нет
Барашкина,Анна,жен,28,167,Омск,кондитер,200000,да
Барбачева,Юлия,жен,41,161,Владимир,руководитель группы,900000,нет
Барбашева,Дарья,жен,36,175,Санкт-Петербург,директор предприятия,90000,нет
Барбулатов,Василий,муж,38,164,Москва,руководитель группы,40000,да
Барвенова,Марина,жен,57,178,Омск,инженер,600000,да
Бардамина,Ольга,жен,50,172,Уфа,инженер,80000,да
Баренбойма,Марина,жен,41,182,Ачинск,руководитель группы,25000,нет
Барешеникова,Кристина,жен,40,185,Мурманск,бухгалтер,50000,да
Барзунов,Василий,муж,55,172,Калининград,ведущий инженер,70000,да
Баркакова,Диана,жен,52,183,Москва,руководитель группы,25000,нет
Баркова-трошкина,Ольга,жен,25,168,Ачинск,инженер,600000,нет
Бармачева,Марина,жен,50,182,Санкт-Петербург,ведущий инженер,250000,да
Барнакова,Ольга,жен,41,177,Омск,инженер,900000,да
Бародина,Мария,жен,45,159,Владимир,конструктор,30000,нет
Барсегова,Анастасия,жен,36,182,Омск,директор предприятия,50000,да
Барулина,Юлия,жен,41,157,Ачинск,конструктор,45000,нет
Бархинцева,Дарья,жен,49,184,Ачинск,ведущий инженер,400000,да
Баршева,Анастасия,жен,40,178,Санкт-Петербург,директор предприятия,25000,да
Баскаев,Максим,муж,37,189,Мурманск,учитель,60000,да
Баскокова,Диана,жен,41,178,Казань,директор предприятия,250000,нет
Бассарова,Анастасия,жен,38,176,Уфа,кондитер,90000,нет
Бастрикина,Юлия,жен,20,164,Москва,бухгалтер,500000,нет
Батагова,Дарья,жен,58,185,Мурманск,инженер,200000,да
Батанов,Сергей,муж,52,159,Москва,кондитер,40000,нет
Батиралиев,Пётр,муж,34,184,Москва,руководитель группы,20000,нет
Батомина,Анна,жен,43,186,Владимир,бухгалтер,200000,нет
Батыжев,Антон,муж,58,162,Казань,ведущий инженер,350000,да
Батясов,Никита,муж,32,187,Омск,учитель,80000,да
Бахарова,Дарья,жен,36,182,Рязань,конструктор,900000,нет
Бахнина,Марина,жен,35,180,Омск,руководитель группы,200000,да
Бахтимирова,Марина,жен,35,156,Рязань,учитель,150000,нет
Бацалева,Диана,жен,43,160,Калининград,руководитель группы,60000,нет
Бачигина,Юлия,жен,33,155,Ачинск,директор предприятия,30000,да
Башенев-деев,Максим,муж,54,160,Санкт-Петербург,конструктор,900000,да
Башеренков,Сергей,муж,33,180,Москва,директор предприятия,40000,да
Башкетов,Александр,муж,21,167,Уфа,директор предприятия,200000,да
Башкирцев,Андрей,муж,31,164,Омск,конструктор,40000,да
Башманов,Максим,муж,39,155,Казань,инженер,700000,да
Башунов,Пётр,муж,25,182,Уфа,конструктор,500000,нет
Баяндина,Анна,жен,22,167,Санкт-Петербург,конструктор,400000,нет
Бегиджанова,Анна,жен,59,188,Москва,руководитель группы,40000,нет
Бегородцева,Кристина,жен,44,187,Омск,директор предприятия,50000,да
Бедакова,Дарья,жен,22,161,Ачинск,руководитель группы,900000,да
Бедирова,Мария,жен,25,167,Санкт-Петербург,кондитер,80000,да
Бедрдинова,Мария,жен,49,164,Казань,инженер,800000,да
Бедрейдинова,Анна,жен,18,163,Санкт-Петербург,учитель,600000,да
Бедросова,Юлия,жен,29,171,Калининград,инженер,90000,да
Безбабнова,Анастасия,жен,46,168,Калининград,учитель,900000,да
Безбоков,Андрей,муж,19,188,Санкт-Петербург,конструктор,30000,нет
Безгодков,Максим,муж,47,174,Рязань,инженер,20000,да
Безлапатов,Сергей,муж,29,164,Омск,кондитер,20000,да
Безменщикова,Диана,жен,51,158,Санкт-Петербург,директор предприятия,100000,нет
Безотосов,Александр,муж,33,183,Владимир,ведущий инженер,400000,да
Безсонова,Мария,жен,20,185,Санкт-Петербург,кондитер,200000,да
Безусов,Антон,муж,48,177,Ачинск,конструктор,200000,нет
Безхмельнов,Сергей,муж,46,171,Рязань,бухгалтер,350000,да
Безяев,Александр,муж,30,170,Санкт-Петербург,конструктор,30000,да
Бейрутов,Александр,муж,56,182,Мурманск,кондитер,30000,нет
Бекалдиева,Анастасия,жен,28,156,Ачинск,конструктор,35000,нет
Беклев,Максим,муж,24,176,Казань,директор предприятия,800000,да
Бекназарова,Мария,жен,41,168,Рязань,конструктор,30000,да
Бекоева,Анна,жен,20,187,Уфа,бухгалтер,600000,да
Белевитинов,Пётр,муж,58,157,Калининград,учитель,35000,да
Беленов,Никита,муж,37,165,Омск,конструктор,30000,нет
Беликеева,Юлия,жен,51,163,Омск,учитель,400000,да
Белихова,Анастасия,жен,53,163,Мурманск,руководитель группы,45000,да
Белогривова,Анастасия,жен,18,184,Москва,инженер,400000,нет
Белокуров,Пётр,муж,20,169,Санкт-Петербург,директор предприятия,80000,нет
Белолипова,Анна,жен,39,155,Санкт-Петербург,руководитель группы,70000,нет
Белослудцева,Евгения,жен,41,170,Ачинск,руководитель группы,90000,нет
Белуков,Александр,муж,31,174,Санкт-Петербург,инженер,70000,да
Белявцева,Диана,жен,52,167,Казань,директор предприятия,70000,да
Белянова,Юлия,жен,43,169,Москва,ведущий инженер,45000,да
Бендриков,Василий,муж,22,187,Калининград,ведущий инженер,250000,да
Бенев,Антон,муж,40,170,Мурманск,учитель,70000,да
Бердибеков,Антон,муж,54,162,Рязань,учитель,30000,нет
Бердяев,Максим,муж,39,179,Мурманск,руководитель группы,90000,нет
Берейнев,Пётр,муж,43,169,Санкт-Петербург,директор предприятия,400000,нет
Берердинова,Дарья,жен,45,181,Мурманск,инженер,300000,да
Береславцева,Дарья,жен,39,161,Мурманск,директор предприятия,500000,нет
Бескараваев,Никита,муж,42,174,Санкт-Петербург,инженер,70000,нет
Беспроскурнов,Максим,муж,38,161,Мурманск,кондитер,150000,да
Бессережнев,Василий,муж,26,185,Ачинск,директор предприятия,700000,нет
Бессчетнова,Анна,жен,59,186,Омск,инженер,250000,да
Беступина,Дарья,жен,44,181,Рязань,инженер,45000,нет
Бесштанова,Диана,жен,28,186,Ачинск,бухгалтер,25000,да
Бетерякова,Анна,жен,29,188,Санкт-Петербург,кондитер,900000,нет
Беузина,Анна,жен,39,158,Уфа,бухгалтер,100000,нет
Бехтина,Евгения,жен,47,172,Москва,кондитер,30000,да
Бешенов,Пётр,муж,57,162,Владимир,конструктор,30000,да
Бжендова,Ольга,жен,58,189,Санкт-Петербург,руководитель группы,20000,да
Бибиев,Пётр,муж,35,179,Москва,бухгалтер,35000,да
Бибилуров,Михаил,муж,19,186,Владимир,инженер,40000,нет
Бигарева,Ольга,жен,50,171,Уфа,кондитер,300000,нет
Бидардинов,Михаил,муж,41,175,Омск,учитель,100000,да
Биджиева,Дарья,жен,45,181,Санкт-Петербург,кондитер,80000,нет
Бизаева,Анастасия,жен,22,163,Калининград,инженер,150000,да
Бизюкова,Мария,жен,26,162,Калининград,кондитер,30000,нет
Бикмаев,Андрей,муж,39,166,Уфа,директор предприятия,60000,нет
Бикчурина,Диана,жен,33,189,Владимир,директор предприятия,20000,да
Билалетдинова,Мария,жен,58,182,Санкт-Петербург,инженер,20000,нет
Билунова,Евгения,жен,41,181,Уфа,руководитель группы,25000,нет
Бильданова,Анна,жен,48,174,Омск,ведущий инженер,70000,да
Билянова,Марина,жен,50,160,Мурманск,учитель,60000,да
Бираров,Пётр,муж,27,173,Москва,руководитель группы,300000,да
Бирюмина,Анна,жен,52,169,Уфа,руководитель группы,250000,да
Бисаев,Михаил,муж,26,184,Москва,руководитель группы,500000,да
Бисинбаев,Сергей,муж,32,175,Ачинск,бухгалтер,50000,да
Биткулов,Василий,муж,24,174,Казань,руководитель группы,150000,нет
Битюкова,Марина,жен,45,182,Москва,бухгалтер,500000,да
Биченкова,Анна,жен,37,167,Рязань,ведущий инженер,350000,нет
Бишнева,Юлия,жен,37,187,Мурманск,директор предприятия,900000,нет
Бладенков,Михаил,муж,37,173,Санкт-Петербург,инженер,80000,да
Бландшина,Анастасия,жен,26,159,Омск,ведущий инженер,40000,нет
Блашанков,Андрей,муж,57,156,Ачинск,учитель,20000,нет
Блашенкова,Юлия,жен,49,170,Ачинск,директор предприятия,90000,нет
Бленцов,Андрей,муж,54,177,Санкт-Петербург,директор предприятия,150000,нет
Блинников,Василий,муж,41,179,Ачинск,ведущий инженер,30000,нет
Блясова,Дарья,жен,33,168,Москва,бухгалтер,50000,нет
Бобкова,Дарья,жен,44,177,Калининград,инженер,60000,нет
Бобовникова,Мария,жен,51,180,Москва,ведущий инженер,350000,да
Боботов,Михаил,муж,22,164,Москва,руководитель группы,400000,нет
Боброва-егорова,Дарья,жен,31,181,Уфа,директор предприятия,200000,да
